cust_id,총구매액,평균구매액,최대구매액,구매상품종류1,구매상품종류2,구매상품종류3,내점일수,구매주기,주말방문비율,봄-구매비율,여름-구매비율,가을-구매비율,겨울-구매비율,환불금액,환불건수,내점당구매액,내점당구매건수,최근3개월_구매금액,최근3개월_구매건수,최근6개월_구매금액,최근6개월_구매건수,최근12개월_구매금액,최근12개월_구매건수,주구매상품,주구매지점,남성선호상품구매비율,여성선호상품구매비율,식료품구매액비율,평균식료품구매액분위,고가상품구매율,베스트셀러구매비율,주부물품구매비율,스타킹구매건수,고객등급,평균대비구매비중,주환불상품,평균대비내점일수비율,평일고가상품구매건수,방문지점,주방관련구매횟수,주구매시즌,주구매요일,선호가격대,주로먼저사는품목,가격선호도,라이프 스타일(평균),라이프 스타일(건수),선호방문계절,선호방문월,구매지점다양성,행사상품구매수,휴일방문율,최소구매액,저가상품구매율,요일 간 구매건수 편차,재구매비율,성별선호상품구매여부,구매물품종류수,봄-주구매상품,여름-주구매상품,가을-주구매상품,겨울-주구매상품,봄_이용지수,여름_이용지수,가을_이용지수,겨울_이용지수,겨울_구매건수,Top- 10 제외 주구매상품,하루 최고 구매 금액,하루 최고 구매 건수,금요일 방문 횟수,만족도 떨어지는 제품 총 구입금액,만족도 떨어지는 제품 총 구매건수,가성비 제품 총 구입금액,가성비 제품 총 구입건수,구매다양성지수,사치율평균,금액편차,충성도,WS구입건수,구매건수편차,휴면일수,취미용품 구매비율,아동용품 구매건수,인기제품구매율,의류구매비용,명절식품비용,발렌타인,화이트,단독상품군구매율,구매건수,첫구매상품1,첫구매상품2,rest_date,c_class,endmonth,주방용품구매,하루최대구매건수,구매폭,주구매계절,내점당평균구매상품종류,구매력지수,생활용품-구매건수,생활용품-구매액,생활용품-구매비율,가전제품-구매건수,가전제품-구매액,가전제품-구매비율,요일_변동계수,전체방문_중_환불방문(표준화),월_재방문율,최고액 중분류명,중분류명별 금액합,동일한_지점&분류_최대횟수,서로 다른 대분류구입,저가상품구매비율,거래당 구매 물품 다양성,시즌 마감 방문비율,"('주부물품구매비율', '')",recommend_items,고가상품최다빈도품목,최대지출품목,Top5상품구매건수,선호시즌,다양한 제품 보유 지점 선호도,목적지향적 물품 소비율,내점시마다 구매액의 일관성,총초고가상품구매액,초고가상품구매율
0,68282840,922741,11264000,35,28,17,19,17,0.527027027027027,0.0945945945945946,0.3918918918918919,0.3783783783783784,0.13513513513513514,6860000.0,3.0,3593833.6842105263,3.8947368421052633,29084140.0,27.0,42601240.0,61.0,68282840,74,기타,강남점,0.06756756756756757,0.12162162162162163,0.02521775602772234,2.0,0.24,0.5135135135135135,0.04054054054054054,0.0,VIP+,47.18187067132708,디자이너부틱,0.9812568527743485,0.0,2,31.0,3,6,4,건강식품,2.0,화장품,식품,fall,10,0.08333333333333333,5.0,0.568,1150.0,0.43,0.33783783783783783,0.20270270270270271,10000,74,화장품,건강식품,기타,육류,0.0945945945945946,0.3918918918918919,0.3783783783783784,0.13513513513513514,10.0,건강식품,15239000,10,19,17829000.0,11,62662040.0,59.0,3.5,0.58,1894269.8757384017,14.145558000937658,71.0,4.280446497997869,7,0.056338028169014086,0.0,0.7972972972972973,26836200.0,0.0,0.0,0.0,0.06756756756756757,74,상품군미지정,건강식품,7,pretige,0.22904056128889777,0.0,10,47.2972972972973,가을,0.8947368421052632,2713656,,,,,,,0.7643203103988797,1.241951101855759,0.6363636363636364,기초 화장품,22450000,8,17,0.0945945945945946,0.07948442534908702,0.6842105263157895,0.2702702702702703,농산가공,화장품,화장품,31,이사/혼수시즌,98,0.0,19670068126486.426,51378500.0,0.7524364833097159
1,2136000,712000,2136000,2,2,2,2,1,0.0,0.0,0.0,1.0,0.0,300000.0,1.0,1068000.0,1.5,2136000.0,3.0,2136000.0,3.0,2136000,3,스포츠,잠실점,0.6666666666666666,0.0,0.0,0.0,0.33,0.0,0.3333333333333333,0.0,BABY,1.4759268324802344,아웃도아,0.10329019502887879,0.0,1,0.0,4,4,3,스포츠,2.0,의류,예체능,fall,10,0.041666666666666664,0.0,0.0,300000.0,0.33,0.6666666666666666,0.3333333333333333,0,3,없음,없음,스포츠,없음,0.0,0.0,1.0,0.0,없음,스포츠,1836000,2,2,0.0,0,2136000.0,1.0,1.5,0.343,1298248.0502585012,14.012721548269704,2.0,6.012613,67,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,3,아웃도아,스포츠,67,etc,1.0,0.0,2,66.66666666666666,가을,1.0,1218000,,,,,,,1.8358568490953673,4.984455875971928,0.0,트래디셔널Ⅰ,2136000,2,2,0.3333333333333333,0.030612244897959183,1.5,0.0,시티캐주얼,트래디셔널,트래디셔널,0,이사/혼수시즌,16,0.0,589824000000.0,,
2,3197000,799250,1639000,1,2,2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1598500.0,2.0,0.0,0.0,0.0,0.0,3197000,4,남성 캐주얼,관악점,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BABY,2.2090534098498638,0,0.10329019502887879,0.0,1,0.0,1,1,2,남성 캐주얼,2.0,남성의류,기타,fall,1,0.041666666666666664,0.0,0.0,64500.0,0.5,0.5,0.5,0,4,없음,없음,없음,남성 캐주얼,0.0,0.0,0.0,1.0,4.0,없음,1713500,2,2,0.0,0,0.0,0.0,2.0,0.548,847425.5621193718,13.59143031809428,4.0,6.012613,355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,상품군미지정,남성 캐주얼,355,vip,0.0,0.0,2,25.0,겨울,1.0,1529000,,,,,,,1.7078251276599334,-0.48535879389016523,0.0,시티캐주얼,3058000,4,2,0.0,0.04081632653061224,0.0,0.0,비지니스군,남성 캐주얼,남성 캐주얼,2,기타,4,0.0,13225000000.0,,
3,16077620,365400,4935000,24,20,13,18,16,0.3181818181818182,0.5909090909090909,0.1590909090909091,0.11363636363636363,0.13636363636363635,0.0,0.0,893201.1111111111,2.4444444444444446,549620.0,4.0,1284060.0,11.0,16077620,44,기타,광주점,0.0,0.0,0.2373168416718395,4.0,0.07,0.5454545454545454,0.0,2.0,BABY,11.109265337275687,0,0.929611755259909,0.0,1,22.0,2,2,3,수산품,1.0,생활용품,식품,spring,3,0.041666666666666664,0.0,0.386,1800.0,0.5,0.18181818181818182,0.20454545454545456,10000,44,기타,기타,수산품,수산품,0.5909090909090909,0.1590909090909091,0.11363636363636363,0.13636363636363635,6.0,아동,5137000,8,18,4654000.0,2,9063320.0,33.0,2.0,1.053,991730.2501652412,13.100377864902418,44.0,3.6575644598253874,17,0.0,2.0,0.75,1609600.0,131560.0,0.0,0.0,0.11363636363636363,44,생선,수산품,17,ace,0.4040025824717838,0.0,8,54.54545454545454,봄,0.7222222222222222,782031,3.0,5320900.0,0.06818181818181818,,,,0.437758188278596,-0.48535879389016523,0.7272727272727273,한실침구,4935000,4,13,0.06818181818181818,0.04988662131519275,0.8333333333333334,0.3181818181818182,햄,캐주얼,침구/수예,16,이사/혼수시즌,90,0.0,2298187281087.6543,9410000.0,0.5852856330725568
4,29050000,9683333,24000000,2,3,3,2,85,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,14525000.0,1.5,27000000.0,2.0,27000000.0,2.0,29050000,3,보석,본  점,0.0,0.6666666666666666,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,VIP,20.072881312523787,0,0.10329019502887879,0.0,1,0.0,4,3,4,화장품,4.0,명품,기타,fall,11,0.041666666666666664,0.0,0.0,2050000.0,0.0,0.6666666666666666,0.0,0,3,화장품,없음,보석,없음,0.3333333333333333,0.0,0.6666666666666666,0.0,없음,없음,27000000,2,2,0.0,0,2050000.0,1.0,1.5,1.781,12407692.506398333,15.866424144646928,3.0,0.7071067811865476,47,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,3,상품군미지정,화장품,47,ace,0.07056798623063683,0.0,2,66.66666666666666,가을,1.5,13025000,,,,,,,1.8358568490953673,-0.48535879389016523,0.0,보석,24000000,2,3,0.0,0.030612244897959183,0.5,0.0,시니어,보석,보석,2,기타,16,0.3333333333333333,155625625000000.0,27000000.0,0.9294320137693631
5,11379000,2275800,9552000,4,4,3,3,42,0.2,0.4,0.0,0.0,0.6,462000.0,1.0,3793000.0,1.6666666666666667,0.0,0.0,0.0,0.0,11379000,5,디자이너,일산점,0.0,0.2,0.0,0.0,0.6,0.8,0.2,0.0,BABY,7.86262707246844,디자이너부틱,0.15493529254331817,0.0,2,1.0,1,5,4,디자이너,3.0,명품,명품,fall,1,0.08333333333333333,0.0,0.2,91000.0,0.2,0.6,0.2,0,5,시티웨어,없음,없음,디자이너,0.4,0.0,0.0,0.6,3.0,주방용품,10041000,3,3,9488000.0,3,9579000.0,4.0,1.7,0.792,4457019.5104651125,14.76077778665074,4.0,1.4142135623730951,226,0.0,0.0,0.8,11288000.0,0.0,0.0,0.0,0.4,5,국산주방,디자이너,226,vvip,-0.040601107302926445,1.0,3,80.0,겨울,1.0,3630000,1.0,91000.0,0.2,,,,1.5577761927397231,3.1611843193512303,0.0,디자이너부틱,9090000,2,3,0.2,0.03401360544217687,0.0,0.2,시니어,디자이너,디자이너,4,기타,21,0.0,20371526000000.0,9552000.0,0.8394410756656999
6,10056000,838000,7612000,6,8,6,5,42,0.3333333333333333,0.0,0.16666666666666666,0.0,0.8333333333333334,4582000.0,3.0,2011200.0,2.4,0.0,0.0,2250000.0,2.0,10056000,12,시티웨어,강남점,0.0,0.16666666666666666,0.0,0.0,0.5,0.4166666666666667,0.25,0.0,BABY,6.948464525946272,수입ACC,0.258225487572197,0.0,1,1.0,1,6,4,시티웨어,2.0,의류,의류,fall,1,0.041666666666666664,0.0,0.333,70000.0,0.33,0.3333333333333333,0.25,0,12,없음,구두,없음,시티웨어,0.0,0.16666666666666666,0.0,0.8333333333333334,10.0,보석,7958000,4,5,7040000.0,6,7040000.0,6.0,2.4,1.268,2391790.07811676,14.319433009569885,9.0,3.5355339059327378,150,0.0,2.0,0.5,6970000.0,0.0,0.0,0.0,0.25,12,수입ACC,액세서리,150,vvip,-0.016308671439936355,1.0,4,50.0,겨울,1.2,2782400,1.0,546000.0,0.08333333333333333,,,,0.9941961204540711,3.89049294199951,0.0,시티웨어,5060000,4,6,0.25,0.04897959183673469,0.6,0.08333333333333333,기초 화장품,시티웨어,시티웨어,6,기타,25,0.08333333333333333,11095106560000.0,7612000.0,0.7569610182975338
7,514570080,3099820,27104000,76,57,27,63,5,0.22289156626506024,0.25903614457831325,0.3313253012048193,0.23493975903614459,0.1746987951807229,29524000.0,4.0,8167779.047619048,2.634920634920635,140818200.0,36.0,246732080.0,71.0,514570080,166,명품,본  점,0.060240963855421686,0.18674698795180722,0.03321250236702453,5.0,0.53,0.35542168674698793,0.024096385542168676,0.0,PRESTIGE,355.5560806477064,명품잡화,3.253641143409682,10.0,2,37.0,2,5,4,명품,3.0,가전,명품,fall,6,0.08333333333333333,1.0,0.241,1250.0,0.11,0.24096385542168672,0.16265060240963855,10000,166,명품,기타,명품,화장품,0.25903614457831325,0.3313253012048193,0.23493975903614459,0.1746987951807229,29.0,명품,45608000,12,63,0.0,0,218428430.0,83.0,2.4,1.53,4941358.890365599,15.268497057753681,162.0,8.01702733391419,5,0.06790123456790123,5.0,0.5,178181300.0,3312000.0,0.0,0.0,0.03614457831325301,166,명품잡화,명품,5,lenith,0.35707692137871677,1.0,12,45.78313253012048,여름,0.42857142857142855,5965182,11.0,9638500.0,0.06626506024096386,2.0,11238000.0,0.012048192771084338,0.5937225035207242,0.20922084672724345,1.0,디자이너캐릭터,111309800,10,27,0.030120481927710843,0.05377389050858435,0.7301587301587301,0.16265060240963855,야채,명품,명품,51,기타,504,0.006024096385542169,101710393780646.78,455163400.0,0.8845508467962225
8,688243360,6432181,173088000,53,45,23,18,15,0.411214953271028,0.205607476635514,0.4205607476635514,0.07476635514018691,0.29906542056074764,0.0,0.0,38235742.222222224,5.944444444444445,47623000.0,4.0,341657100.0,42.0,688243360,107,기타,본  점,0.018691588785046728,0.102803738317757,0.0022391498263056252,2.0,0.29,0.38317757009345793,0.0,1.0,PRESTIGE,475.5603194290045,0,0.929611755259909,5.0,5,26.0,3,2,4,가공식품,4.0,명품,의류,summer,7,0.20833333333333334,2.0,0.411,780.0,0.34,0.22429906542056074,0.18691588785046728,10000,107,기타,가공식품,화장품,가공식품,0.205607476635514,0.4205607476635514,0.07476635514018691,0.29906542056074764,32.0,섬유잡화,175131000,14,18,304627000.0,6,525002660.0,65.0,4.9,1.419,20429435.18488308,15.827859733624122,107.0,9.130230616534892,79,0.028037383177570093,9.0,0.6074766355140186,490546800.0,0.0,0.0,0.0,0.08411214953271028,107,커리어,커리어,79,lenith,0.3610572574212703,0.0,14,49.532710280373834,여름,1.2777777777777777,29312055,,,,,,,0.5992493436103146,-0.48535879389016523,0.6363636363636364,디자이너부틱,468624000,8,23,0.018691588785046728,0.12131519274376419,3.611111111111111,0.04672897196261682,포숑,디자이너,디자이너,37,휴가시즌,116,0.0,2235309505029195.0,658649800.0,0.9570013141863076
9,26640850,2220071,13728000,9,9,6,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26640850.0,12.0,0.0,0.0,0.0,0.0,26640850,12,농산물,대전점,0.08333333333333333,0.0,0.011583714483584421,1.0,0.25,0.6666666666666666,0.0,0.0,VIP,18.40821411754731,0,0.051645097514439395,2.0,1,7.0,1,4,2,기타,3.0,의류,식품,fall,1,0.041666666666666664,0.0,0.0,1250.0,0.67,1.0,0.16666666666666666,0,12,없음,없음,없음,농산물,0.0,0.0,0.0,1.0,12.0,없음,26640850,12,1,0.0,0,14037850.0,9.0,9.0,0.694,4988112.104724516,14.613050110682332,12.0,6.012613,354,0.0,0.0,0.75,13728000.0,0.0,0.0,0.0,0.25,12,상품군미지정,기타,354,ace,0.0,0.0,12,75.0,겨울,6.0,13728000,,,,,,,2.6457513110645907,-0.48535879389016523,0.0,시티웨어,13728000,2,6,0.3333333333333333,0.24489795918367346,0.0,0.4166666666666667,유기농야채,남성정장,시티웨어,4,기타,5,0.0,0.0,25728000.0,0.9657349521505507
